"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
"IFNgamma_max_log10","0.88969241798402","0.98019801980198","0","-0.164276057971149","0.653465346534653","0","5.20277301812564e-05","0.97029702970297","0","-0.00271785881996261","0.95","0","0.064","0","0.0074","0","0.003","0","0.095682028246642","0","1","0.01","1","0.01","1","6.121","0","0.00530681162741687","1","0","0.0403212313869834","0.613861386138614","0","0.860321810887389","0","0"
"IL10_max_log10","1.26299063562752","0.99009900990099","0","0.207133051003722","0.336633663366337","0","0.00584581580465784","0.613861386138614","0","-0.000688869603740904","0.73","0","0.0926","0","0.01","0","0.0132","0","0.0642021386291479","0.07","0","0.64","0","0.48","0","5.563","1","0.0271387608296663","0.881188118811881","0","0.0909438562107125","0.0891089108910891","0","0.313819330980007","0","0"
"IL6_max_log10","3.06619930499315","0.0693069306930693","0","1.61664055777971","0.0099009900990099","1","0.0188222690398723","0.0792079207920792","0","0.0121514986164244","0","1","0.1906","0","0.017","0","0.0424","0","0.0632354309033825","0.05","0","0.64","0","0.52","0","4.059","1","0.0108633909024844","0.930693069306931","0","0.043500083654007","0.633663366336634","0","1.6315164952839","0","0"
"ANC_preLD","4.52736098148288","0.0099009900990099","1","2.00703904914683","0.0099009900990099","1","0.011806653747363","0.0396039603960396","1","0.00175942747185019","0.09","0","0.0608","0","0.0078","0","0.0012","0","0.060730300454479","0.03","1","0.57","0","0.66","0","3.328","1","0.0285939861954394","0.752475247524752","0","0.0916369894117928","0.0396039603960396","1","2.60261871631966","0","0"
"Plt_preLD.log10","8.2238938959275","0.0099009900990099","1","3.78152953480255","0.0099009900990099","1","0.0857969659806105","0.0099009900990099","1","0.0645662825184272","0","1","1","1","1","1","1","1","0.0599926264626366","0.01","1","0.71","0","0.71","0","1.901","1","0.394158957849336","0.0099009900990099","1","0.101603766820431","0.0198019801980198","1","15.7526608666364","15.0923083539269","15.0923083539269"
"TGFb1_min_log10_MI","3.44303128051196","0.0792079207920792","0","1.38441444727249","0.0297029702970297","1","0.0161955395306364","0.0297029702970297","1","0.0159806971055178","0","1","0.4134","0","0.033","0","4e-04","0","0.0560768841838538","0.08","0","0.93","0","0.95","0","3.41","1","0.0355411681566872","0.683168316831683","0","0.0580080785869643","0.326732673267327","0","0.246052347790043","0","0"
"IL15_max_log10_MI","1.6102686319499","0.762376237623762","0","0.303068789992679","0.207920792079208","0","0.00114237382797893","0.792079207920792","0","0.00132958318966997","0.3","0","0.5198","1","0.02","0","0.0086","0","0.0557805179096573","0.07","0","0.96","0","0.96","0","5.066","1","0.0298672026127319","0.732673267326733","0","0.0626688018356079","0.138613861386139","0","0.772671273875435","0","0"
"IL18_max_log10_MI","1.26374006780431","1","0","0.10593121047499","0.356435643564356","0","0.00294926672848103","0.811881188118812","0","-0.000647811676983198","0.75","0","0.127","0","0.0308","0","0.0168","0","0.054664545579345","0.09","0","0.98","0","0.99","0","5.808","0","0.0175508278744594","0.772277227722772","0","0.0350868806615837","0.772277227722772","0","1.85725061312888","0","0"
"IL2_max_log10_MI","0.894697630754789","0.920792079207921","0","-0.274285895878216","0.782178217821782","0","0.000851556321077548","0.712871287128713","0","0.000159582582460474","0.38","0","0.1388","0","0.071","0","0.0384","0","0.0479909992831836","0.3","0","1","0","1","0","6.031","0","0.00277214391550867","0.97029702970297","0","0.0181648700972777","0.801980198019802","0","0.532088218721106","0","0"
"IL22_max_log10_MI","0.388362800146397","0.94059405940594","0","-0.431530902155319","0.821782178217822","0","0.00158217912146573","0.445544554455446","0","0.000669019459392509","0.18","0","0.6834","1","0.021","0","0.0062","0","0.0460719081768124","0.35","0","1","0","1","0","8.595","0","3.30662980624851e-05","1","0","0.00248571906594326","0.99009900990099","0","0","0","0"
"IL2Ra_max_log10_MI","1.18330163627762","0.910891089108911","0","0.384197550247985","0.188118811881188","0","0.00407521279654989","0.772277227722772","0","0.00202558334582361","0.16","0","0.1268","0","0.0144","0","0.0282","0","0.0448687869481218","0.36","0","1","0","1","0","5.361","1","0.00930803199685716","0.95049504950495","0","0.0407036497048209","0.435643564356436","0","1.29453600019525","0","0"
"IL5_max_log10_MI","0.958551155208462","0.841584158415842","0","-0.0864280841317089","0.485148514851485","0","-0.000153624010521219","0.762376237623762","0","-0.000231598271929145","0.51","0","0.132","0","0.0168","0","0.0194","0","0.0408212340576724","0.68","0","1","0","1","0","6.357","0","0.00447463437777861","0.930693069306931","0","0.0293267047491575","0.386138613861386","0","3.11315434530537","0","0"
"IL7_max_log10_MI","2.16410001341756","0.336633663366337","0","0.651418303136278","0.099009900990099","0","0.00688172350512204","0.158415841584158","0","0.00191066351332292","0.2","0","0.3712","0","0.0214","0","0.0142","0","0.0366573395420662","0.9","0","1","0","1","0","4.109","1","0.0306250232326976","0.564356435643564","0","0.053156146179402","0.366336633663366","0","2.20054746885943","0","0"
"IL8_max_log10_MI","2.50721807595569","0.207920792079208","0","0.652677637553381","0.118811881188119","0","0.0111055807966431","0.287128712871287","0","0.00463973877738143","0.06","0","1","1","0.8066","1","0.018","0","0.0357235336730551","0.97","0","1","0","1","0","4.526","1","0.178441287182293","0.0099009900990099","1","0.0223236693037597","0.94059405940594","0","0.461308342382825","0","0"
"MCP1_max_log10_MI","1.96408010343303","0.504950495049505","0","0.444735297711258","0.168316831683168","0","0.00640107065080964","0.653465346534653","0","0.00470357698503289","0.03","1","0.1744","0","0.0662","0","0.0012","0","0.0352138380750961","0.96","0","1","0","1","0","5.439","1","0.00208677370045668","1","0","0.0245225746313248","0.910891089108911","0","0.119231578680985","0","0"
"MIP1.beta_max_log10_MI","1.68247543301052","0.772277227722772","0","0.265572683678139","0.376237623762376","0","0.00466726459222358","0.544554455445545","0","-2.35945556163361e-05","0.57","0","0.456","0","0.0796","0","2e-04","0","0.0300081618171794","1","0","1","0","1","0","5.543","1","0.0167569579203982","0.762376237623762","0","0.0562632950118311","0.485148514851485","0","0","0","0"
"sFas_max_log10_MI","1.6394638324429","0.801980198019802","0","-0.0222144030295165","0.574257425742574","0","0.00101217723723932","0.712871287128713","0","-0.00198174713209621","0.82","0","0.207","0","0.0166","0","4e-04","0","0.0297136779480502","1","0","1","0","1","0","5.128","1","0.0195762973729767","0.811881188118812","0","0.0488061378140013","0.594059405940594","0","0.553323788037916","0","0"
"sIL6R_max_log10_MI","1.66506884404702","0.841584158415842","0","0.00071747034382158","0.544554455445545","0","-0.000178209968447906","0.742574257425743","0","-0.00118951789311818","0.72","0","0.0448","0","0.0058","0","2e-04","0","0.0292354910351052","1","0","1","0","1","0","5.136","1","0.00716663418244626","0.98019801980198","0","0.0429264561772509","0.752475247524752","0","1.20443474929708","0","0"
"sTNFR1.p55._max_log10_MI","2.38231087387599","0.287128712871287","0","0.47976438922963","0.168316831683168","0","0.00899693241703593","0.693069306930693","0","0.00101738040552233","0.33","0","0.1362","0","0.2476","0","0.0058","0","0.0288886255666724","1","0","1","0","1","0","4.649","1","0.0270838467682628","0.495049504950495","0","0.0567891201988575","0.217821782178218","0","9.7500890442581","0","8.93853754244775"
"sTNFR1.p75._max_log10_MI","1.90898401240525","0.603960396039604","0","0.199112015834836","0.405940594059406","0","0.00190474762873756","0.891089108910891","0","0.00209210342663257","0.15","0","0.081","0","0.018","0","0","0","0.0284086579864658","1","0","1","0","1","0","5.12","1","0.117434645952163","0.0891089108910891","0","0.0344654508950979","0.683168316831683","0","0.0996831012529094","0","0"
"TIM3_max_log10_MI","1.54051091178214","0.891089108910891","0","0.093036602940177","0.415841584158416","0","0.00884508491118757","0.534653465346535","0","0.000851838832067458","0.35","0","0.1574","0","0.008","0","4e-04","0","0.0281956341412736","1","0","1","0","1","0","5.274","1","0.0257543031808653","0.524752475247525","0","0.0297091230669949","0.762376237623762","0","4.66827485128915","0","4.63991171229864"
"TNFa_max_log10_MI","1.41571072660627","0.396039603960396","0","0.310875286281385","0.158415841584158","0","0.00420088697366517","0.356435643564356","0","0.00239556643761583","0.13","0","0.189","0","0.123","0","0.0308","0","0.0278376393801015","1","0","1","0","1","0","5.255","1","0.00946524787101094","0.782178217821782","0","0.0165873945361983","0.831683168316832","0","0.655935880418573","0","0"
